"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJ-AUTO","12-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","23.65","0","0","0","0","0","2954.9"
"BAJAJ-AUTO","14-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.15","0","0","0","0","0","2971.55"
"BAJAJ-AUTO","14-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","7.3","0","0","0","0","0","2971.55"
"BAJAJ-AUTO","14-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","22.4","0","0","0","0","0","2971.55"
"BAJAJ-AUTO","15-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.05","0","0","0","0","0","2931.75"
"BAJAJ-AUTO","15-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","4.75","0","0","0","0","0","2931.75"
"BAJAJ-AUTO","15-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","16.9","0","0","0","0","0","2931.75"
"BAJAJ-AUTO","16-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.1","0","0","0","0","0","2981.6"
"BAJAJ-AUTO","16-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","7.15","0","0","0","0","0","2981.6"
"BAJAJ-AUTO","16-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","22.75","0","0","0","0","0","2981.6"
"BAJAJ-AUTO","19-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0","0","0","0","0","0","2945.85"
"BAJAJ-AUTO","19-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","4","0","0","0","0","0","2945.85"
"BAJAJ-AUTO","19-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","16.2","0","0","0","0","0","2945.85"
"BAJAJ-AUTO","20-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0","0","0","0","0","0","2886.95"
